user_id,timestamp,article_id,section,read_time_seconds
u_00001,2026-01-30 13:33:00,a_01285,lifestyle,135
u_00001,2026-02-13 21:15:00,a_00760,politik,103
u_00001,2026-02-14 10:44:00,a_01204,international,45
u_00001,2026-03-01 11:23:00,a_00458,technologie,207
u_00001,2026-03-05 14:22:00,a_00370,sport,66
u_00001,2026-03-07 06:19:00,a_01972,sport,44
u_00001,2026-03-14 18:39:00,a_00407,sport,63
u_00001,2026-03-15 20:19:00,a_01421,meinung,78
u_00001,2026-03-15 22:44:00,a_00863,sport,38
u_00001,2026-03-31 15:36:00,a_01759,wirtschaft,41
u_00001,2026-04-02 06:11:00,a_00957,lifestyle,17
u_00001,2026-04-06 06:26:00,a_00134,technologie,49
u_00001,2026-04-06 16:49:00,a_00689,international,137
u_00001,2026-04-09 15:58:00,a_01153,sport,46
u_00001,2026-04-09 21:34:00,a_00878,meinung,33
u_00001,2026-04-14 16:08:00,a_00762,sport,9
u_00001,2026-04-19 10:14:00,a_01048,lifestyle,301
u_00001,2026-04-19 21:26:00,a_00335,sport,158
u_00001,2026-04-23 07:21:00,a_01101,international,61
u_00001,2026-04-29 14:05:00,a_00037,sport,170
u_00001,2026-05-03 20:48:00,a_00192,meinung,175
u_00001,2026-05-04 15:08:00,a_00292,sport,36
u_00001,2026-05-09 17:19:00,a_01150,meinung,220
u_00001,2026-05-10 07:00:00,a_01362,technologie,53
u_00001,2026-05-11 22:41:00,a_01244,politik,110
u_00001,2026-05-12 18:47:00,a_00715,meinung,180
u_00001,2026-05-13 19:28:00,a_01006,sport,26
u_00001,2026-05-15 22:44:00,a_01628,international,124
u_00001,2026-05-17 08:22:00,a_01058,meinung,215
u_00001,2026-05-17 22:43:00,a_00672,meinung,195
u_00001,2026-05-19 21:53:00,a_00141,meinung,87
u_00001,2026-05-20 17:42:00,a_01811,sport,226
u_00001,2026-05-23 08:54:00,a_00480,lifestyle,75
u_00001,2026-06-05 18:08:00,a_00787,politik,77
u_00001,2026-06-07 18:51:00,a_00844,sport,69
u_00001,2026-06-10 13:47:00,a_00683,sport,54
u_00001,2026-06-12 19:41:00,a_00206,sport,39
u_00001,2026-06-13 12:24:00,a_01493,international,58
u_00001,2026-06-19 20:41:00,a_00210,international,64
u_00001,2026-06-24 09:55:00,a_00782,meinung,57
u_00001,2026-06-25 17:34:00,a_00046,wirtschaft,58
u_00001,2026-06-25 19:34:00,a_01208,sport,124
u_00001,2026-06-27 09:29:00,a_00711,technologie,31
u_00001,2026-06-29 22:50:00,a_01299,sport,87
u_00002,2025-08-29 17:58:00,a_00936,lifestyle,84
u_00002,2025-09-12 18:00:00,a_00736,lifestyle,101
u_00002,2025-09-13 22:36:00,a_00620,wirtschaft,175
u_00002,2025-09-21 13:44:00,a_01521,international,112
u_00002,2025-09-24 14:08:00,a_01163,lifestyle,167
u_00002,2025-09-29 20:43:00,a_01375,wirtschaft,70
u_00002,2025-09-30 19:17:00,a_00597,meinung,89
u_00002,2025-10-01 23:00:00,a_01663,technologie,67
u_00002,2025-10-07 09:57:00,a_01354,feuilleton,79
u_00002,2025-10-11 23:44:00,a_01556,politik,95
u_00002,2025-10-16 08:30:00,a_01239,feuilleton,67
u_00002,2025-10-17 23:24:00,a_00361,feuilleton,136
u_00002,2025-10-22 23:05:00,a_00040,lifestyle,198
u_00002,2025-10-23 23:30:00,a_00622,lifestyle,37
u_00002,2025-10-24 14:59:00,a_01800,lifestyle,202
u_00002,2025-10-30 21:00:00,a_01129,feuilleton,144
u_00002,2025-11-01 13:20:00,a_00392,sport,95
u_00002,2025-11-01 19:23:00,a_01374,lifestyle,79
u_00002,2025-11-02 14:24:00,a_00686,meinung,97
u_00002,2025-11-03 14:03:00,a_00958,sport,78
u_00002,2025-11-05 18:31:00,a_00187,feuilleton,94
u_00002,2025-11-08 06:22:00,a_00144,lifestyle,81
u_00002,2025-11-11 06:27:00,a_00441,sport,151
u_00002,2025-11-25 10:16:00,a_00479,wirtschaft,273
u_00002,2025-11-28 19:34:00,a_00606,feuilleton,43
u_00002,2025-12-04 08:33:00,a_01933,wirtschaft,17
u_00002,2025-12-13 11:56:00,a_01930,feuilleton,58
u_00002,2025-12-13 23:23:00,a_00883,international,41
u_00002,2025-12-17 21:17:00,a_00276,wirtschaft,41
u_00002,2025-12-18 20:05:00,a_01876,lifestyle,30
u_00002,2025-12-26 08:09:00,a_01865,wirtschaft,79
u_00002,2025-12-30 11:01:00,a_00513,lifestyle,111
u_00002,2026-01-03 23:54:00,a_00013,meinung,137
u_00002,2026-01-04 15:29:00,a_01464,feuilleton,127
u_00002,2026-01-07 14:26:00,a_01261,feuilleton,213
u_00002,2026-01-09 17:29:00,a_00533,meinung,55
u_00002,2026-01-11 06:24:00,a_01636,international,110
u_00002,2026-01-18 12:50:00,a_01317,feuilleton,62
u_00002,2026-01-20 08:32:00,a_00054,wirtschaft,67
u_00002,2026-01-25 16:30:00,a_00661,feuilleton,62
u_00002,2026-01-28 10:01:00,a_00442,politik,34
u_00002,2026-01-28 16:21:00,a_00477,feuilleton,73
u_00002,2026-01-30 23:11:00,a_01387,feuilleton,121
u_00002,2026-02-01 20:59:00,a_01446,politik,119
u_00002,2026-02-05 16:17:00,a_01026,lifestyle,55
u_00002,2026-02-12 17:31:00,a_01296,sport,39
u_00002,2026-02-13 07:06:00,a_00905,feuilleton,86
u_00002,2026-02-17 15:36:00,a_01026,lifestyle,31
u_00002,2026-02-18 17:46:00,a_00394,international,200
u_00002,2026-02-25 08:42:00,a_00379,wirtschaft,141
u_00002,2026-02-25 16:07:00,a_01606,lifestyle,134
u_00002,2026-03-01 11:36:00,a_01748,meinung,155
u_00002,2026-03-01 17:40:00,a_00815,international,34
u_00002,2026-03-10 16:29:00,a_00845,feuilleton,66
u_00002,2026-03-12 18:38:00,a_00697,wirtschaft,129
u_00002,2026-03-18 20:54:00,a_00379,wirtschaft,112
u_00002,2026-03-19 16:31:00,a_00823,lifestyle,104
u_00002,2026-03-19 16:35:00,a_01592,international,91
u_00002,2026-03-23 15:52:00,a_01174,meinung,37
u_00002,2026-03-24 07:08:00,a_01819,lifestyle,83
u_00002,2026-03-29 20:16:00,a_00004,lifestyle,44
u_00002,2026-03-30 20:47:00,a_00680,lifestyle,310
u_00002,2026-03-31 22:08:00,a_01616,lifestyle,80
u_00002,2026-04-01 07:33:00,a_01691,lifestyle,69
u_00002,2026-04-09 18:42:00,a_01208,sport,71
u_00002,2026-04-12 15:11:00,a_00757,lifestyle,189
u_00002,2026-04-13 11:08:00,a_00737,international,139
u_00002,2026-04-13 15:03:00,a_00708,technologie,311
u_00002,2026-04-15 21:49:00,a_00695,feuilleton,117
u_00002,2026-04-18 13:07:00,a_01270,wirtschaft,147
u_00002,2026-04-22 07:59:00,a_00030,wirtschaft,157
u_00002,2026-04-23 06:20:00,a_01509,technologie,163
u_00002,2026-04-26 10:17:00,a_01292,lifestyle,109
u_00002,2026-04-28 09:29:00,a_01354,feuilleton,28
u_00002,2026-04-29 09:09:00,a_01181,technologie,170
u_00002,2026-05-01 22:43:00,a_00611,technologie,108
u_00002,2026-05-04 13:05:00,a_01315,lifestyle,52
u_00002,2026-05-05 17:08:00,a_01848,lifestyle,285
u_00002,2026-05-05 21:36:00,a_01959,international,39
u_00002,2026-05-07 19:58:00,a_00870,feuilleton,151
u_00002,2026-05-11 17:49:00,a_00704,lifestyle,115
u_00002,2026-05-14 13:27:00,a_01168,feuilleton,69
u_00002,2026-05-25 08:15:00,a_01508,feuilleton,111
u_00002,2026-05-25 09:20:00,a_00859,politik,56
u_00002,2026-05-27 19:40:00,a_00208,lifestyle,64
u_00002,2026-05-31 12:15:00,a_01585,feuilleton,105
u_00002,2026-06-02 06:27:00,a_01539,feuilleton,73
u_00002,2026-06-03 14:25:00,a_00980,lifestyle,60
u_00002,2026-06-04 14:12:00,a_01321,lifestyle,166
u_00002,2026-06-05 20:47:00,a_01287,meinung,57
u_00002,2026-06-06 20:34:00,a_01749,wirtschaft,38
u_00002,2026-06-07 11:54:00,a_00854,international,124
u_00002,2026-06-07 19:49:00,a_01012,sport,92
u_00002,2026-06-07 21:02:00,a_01728,lifestyle,63
u_00002,2026-06-08 11:59:00,a_00578,wirtschaft,146
u_00002,2026-06-12 16:55:00,a_01739,politik,62
u_00002,2026-06-14 07:18:00,a_00606,feuilleton,180
u_00002,2026-06-15 12:28:00,a_00889,sport,37
u_00002,2026-06-16 07:35:00,a_00578,wirtschaft,106
u_00002,2026-06-17 15:42:00,a_01444,lifestyle,353
u_00002,2026-06-18 20:12:00,a_00874,lifestyle,187
u_00002,2026-06-27 16:43:00,a_00868,sport,40
u_00003,2026-03-22 09:50:00,a_00951,politik,50
u_00003,2026-03-31 22:36:00,a_00999,technologie,68
u_00003,2026-05-09 13:47:00,a_01488,wirtschaft,52
u_00003,2026-05-25 07:30:00,a_01778,sport,127
u_00003,2026-06-02 19:26:00,a_01157,lifestyle,179
u_00003,2026-06-10 09:51:00,a_01233,technologie,59
u_00003,2026-06-16 14:24:00,a_01280,wirtschaft,18
u_00003,2026-06-17 13:45:00,a_00877,wirtschaft,89
u_00003,2026-06-29 10:17:00,a_01323,sport,111
u_00004,2026-01-02 23:23:00,a_00958,sport,103
u_00004,2026-01-18 22:53:00,a_00887,sport,227
