campaign_id,campaign_name,start_date,end_date,channel,user_id,arm
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_02765,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_04768,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03815,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03500,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_02736,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03923,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_02702,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_01180,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_00933,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_00793,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_01853,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_01186,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_01725,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_04081,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03824,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_04055,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_02722,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03904,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_01866,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_00760,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_02417,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03671,treatment
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_04839,control
c_001,digital_to_premium_upsell,2025-05-15,2025-06-15,email+meta,u_03091,treatment
